"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"0.431","0.36","1","-14.192","0","0.0341","0.84","0.548","0.0926","0.171","178.445","374067","5"
"0.143","0.0178","10","-29.009","1","0.0387","0.918","0.805","0.0915","0.0394","141.789","564933","1"
"0.343","0.133","7","-18.721","0","0.034","0.962","0.808","0.0988","0.191","96.891","529307","4"
"0.273","0.702","11","-12.429","0","0.281","0.626","0.884","0.18","0.0375","118.712","958533","4"
"0.183","0.232","5","-18.721","1","0.0454","0.93","0.862","0.227","0.114","84.263","1102667","4"
"0.0807","0.0442","2","-21.081","1","0.0384","0.906","0.734","0.111","0.0343","172.911","527040","4"
"0.435","0.258","0","-16.744","1","0.0439","0.857","0.83","0.301","0.2","132.167","721773","4"
"0.26","0.368","0","-12.991","1","0.0335","0.817","0.841","0.106","0.191","108.351","448173","4"
"0.34","0.53","8","-10.514","1","0.0448","0.296","0.00311","0.129","0.184","73.017","257788","4"
"0.668","0.545","0","-8.575","1","0.0296","0.121","0.0000612","0.146","0.586","132.985","255127","4"
"0.471","0.149","4","-12.857","1","0.0313","0.854","0.000317","0.0992","0.197","138.938","234874","4"
"0.767","0.677","5","-4.668","1","0.0332","0.292","0","0.292","0.591","119.954","181000","4"
"0.425","0.516","7","-9.646","1","0.123","0.425","0.000214","0.135","0.665","207.399","184773","4"
